"","miasta","srednie_cenny","srednie_cenny_za_metr","mediana_ceny","media_ceny_za_metr"
"1","lublin",305475.096947935,9246.35906642729,299000,9133
"2","bydgoszcz",255706.766393443,8058.79234972678,255000,7882
"3","gdansk",437236.098888889,13854.1488888889,395000,12967
"4","katowice",297881.756892231,9138.61403508772,292400,9093
"5","krakow",424084.514548982,13425.3069835112,415920,12908.5
"6","lodz",253420.08365019,8157.26235741445,260000,8088
"7","poznan",337561.609053498,10561.1316872428,337637,10273
"8","szczecin",330539.512455516,10387.0533807829,319900,9946
"9","warszawa",484132.027849981,15383.1845525436,465000,14684
"10","wroclaw",398403.242816901,13111.72,379000,11944
